State-Year,homicide_rate,gun_homicide_rate,other_homicide,homicide_pct_difference,suicide_rate,gun_suicide_rate,other_suicide,suicide_pct_difference,background_checks_q2,criminals_q2,criminals_q3,criminals_q4,criminals_q5,criminals_q7,criminals_q8,criminals_q9,domestic_violence_q1,domestic_violence_q2,domestic_violence_q4,domestic_violence_q5,domestic_violence_q7,domestic_violence_q9,domestic_violence_q11,domestic_violence_q12,domestic_violence_q13,domestic_violence_q14,domestic_violence_q15,domestic_violence_q16,domestic_violence_q17,drugs_and_alcohol_q1,drugs_and_alcohol_q2,drugs_and_alcohol_q3,drugs_and_alcohol_q4,drugs_and_alcohol_q7,drugs_and_alcohol_q8,drugs_and_alcohol_q9,drugs_and_alcohol_q10,drugs_and_alcohol_q11,drugs_and_alcohol_q12,mental_illness_q1,mental_illness_q2,mental_illness_q3,mental_illness_q4,mental_illness_q5,mental_illness_q6,mental_illness_q7,mental_illness_q8,mental_illness_q9,mental_illness_q10,mental_illness_q11,mental_illness_q12,minimum_age_q1,minimum_age_q2,minimum_age_q3,minimum_age_q4,permitting_process_q1,permitting_process_q2,permitting_process_q3,permitting_process_q5,permitting_process_q6,permitting_process_q7,permitting_process_q8,permitting_process_q9,permitting_process_q10,permitting_process_q12,permitting_process_q13,other_q1,other_q2,other_q3,other_q4,other_q5,other_q6,other_q7,other_q8,other_q9,background_checks_q2_neighbors,criminals_q2_neighbors,criminals_q3_neighbors,criminals_q4_neighbors,criminals_q5_neighbors,criminals_q7_neighbors,criminals_q8_neighbors,criminals_q9_neighbors,domestic_violence_q1_neighbors,domestic_violence_q2_neighbors,domestic_violence_q4_neighbors,domestic_violence_q5_neighbors,domestic_violence_q7_neighbors,domestic_violence_q9_neighbors,domestic_violence_q11_neighbors,domestic_violence_q12_neighbors,domestic_violence_q13_neighbors,domestic_violence_q14_neighbors,domestic_violence_q15_neighbors,domestic_violence_q16_neighbors,domestic_violence_q17_neighbors,drugs_and_alcohol_q1_neighbors,drugs_and_alcohol_q2_neighbors,drugs_and_alcohol_q3_neighbors,drugs_and_alcohol_q4_neighbors,drugs_and_alcohol_q7_neighbors,drugs_and_alcohol_q8_neighbors,drugs_and_alcohol_q9_neighbors,drugs_and_alcohol_q10_neighbors,drugs_and_alcohol_q11_neighbors,drugs_and_alcohol_q12_neighbors,mental_illness_q1_neighbors,mental_illness_q2_neighbors,mental_illness_q3_neighbors,mental_illness_q4_neighbors,mental_illness_q5_neighbors,mental_illness_q6_neighbors,mental_illness_q7_neighbors,mental_illness_q8_neighbors,mental_illness_q9_neighbors,mental_illness_q10_neighbors,mental_illness_q11_neighbors,mental_illness_q12_neighbors,minimum_age_q1_neighbors,minimum_age_q2_neighbors,minimum_age_q3_neighbors,minimum_age_q4_neighbors,permitting_process_q1_neighbors,permitting_process_q2_neighbors,permitting_process_q3_neighbors,permitting_process_q5_neighbors,permitting_process_q6_neighbors,permitting_process_q7_neighbors,permitting_process_q8_neighbors,permitting_process_q9_neighbors,permitting_process_q10_neighbors,permitting_process_q12_neighbors,permitting_process_q13_neighbors,other_q1_neighbors,other_q2_neighbors,other_q3_neighbors,other_q4_neighbors,other_q5_neighbors,other_q6_neighbors,other_q7_neighbors,other_q8_neighbors,other_q9_neighbors,homicide_rank
Alabama 1991,0.6701030927835053,0.5987261146496815,0.4634146341463416,0.1447619047619048,0.30801687763713076,0.570552147239264,0.07692307692307682,0.014741567580684282,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.5,1.0,1.0,0.5,0.25,0.25,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Alabama 1992,0.6134020618556701,0.5414012738853503,0.43902439024390244,0.15070643642072215,0.2827004219409282,0.5153374233128835,0.10576923076923073,0.02455586916818861,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.5,1.0,1.0,0.5,0.25,0.25,0.0,1.0,0.75,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Alabama 1993,0.6494845360824744,0.5668789808917197,0.47560975609756106,0.15639097744360908,0.2995780590717299,0.5521472392638037,0.08653846153846156,0.01781865883749259,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.5,1.0,1.0,0.5,0.25,0.25,0.0,1.0,0.75,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Alabama 1994,0.6649484536082475,0.5923566878980892,0.4634146341463414,0.1462241462241462,0.2827004219409282,0.5092024539877301,0.11538461538461531,0.026981676622592113,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.25,0.75,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.75,0.5,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Alabama 1995,0.577319587628866,0.5414012738853503,0.35365853658536595,0.12140240711669287,0.2995780590717299,0.539877300613497,0.10576923076923073,0.022289137431093266,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.25,0.75,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.75,0.5,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Alabama 1996,0.577319587628866,0.5159235668789809,0.40243902439024404,0.14449917898193768,0.2531645569620253,0.49693251533742333,0.0673076923076924,0.0189103003703196,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.25,0.75,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Alabama 1997,0.5618556701030928,0.4968152866242038,0.4024390243902438,0.14965986394557823,0.24472573839662443,0.4785276073619633,0.07692307692307682,0.022542799418707675,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.7236842105263158,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.25,0.75,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.75,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5
Alabama 1998,0.4845360824742268,0.4267515923566879,0.35365853658536583,0.1513372472276582,0.29535864978902954,0.539877300613497,0.09615384615384615,0.020552528438963776,0.0,0.125,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236842105263158,0.0,0.0,0.0,0.5,0.625,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.25,0.75,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.75,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5
Alaska 1991,0.3195876288659794,0.15286624203821658,0.48780487804878053,0.507936507936508,0.2827004219409282,0.47239263803681,0.17307692307692296,0.04269429308861483,0.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3
Alaska 1992,0.28350515463917525,0.18471337579617836,0.34146341463414637,0.3047619047619048,0.4556962025316455,0.6134969325153375,0.34615384615384603,0.055190837525222386,0.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3
Alaska 1993,0.27319587628865977,0.1656050955414013,0.35365853658536583,0.34523809523809523,0.4388185654008439,0.6564417177914111,0.24038461538461536,0.03401860664064589,0.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3
Alaska 1994,0.22680412371134023,0.17197452229299362,0.2317073170731708,0.21933621933621944,0.6244725738396624,0.8711656441717793,0.32692307692307676,0.029133419929485982,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
Alaska 1995,0.4123711340206186,0.29936305732484075,0.4268292682926831,0.25157232704402527,0.459915611814346,0.6993865030674847,0.2211538461538462,0.02759621451104103,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
Alaska 1996,0.29896907216494845,0.2484076433121019,0.25609756097560976,0.17777777777777778,0.6033755274261603,0.834355828220859,0.33653846153846145,0.03277967338354902,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
Alaska 1997,0.4072164948453608,0.2484076433121019,0.5121951219512195,0.35555555555555557,0.6624472573839661,0.834355828220859,0.47115384615384637,0.04915341530934145,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
Alaska 1998,0.35051546391752575,0.2356687898089172,0.4024390243902439,0.29235880398671105,0.6708860759493671,0.8220858895705523,0.5096153846153847,0.05500924616556076,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
Arizona 1991,0.4123711340206186,0.31210191082802546,0.40243902439024404,0.22857142857142865,0.5147679324894514,0.6687116564417179,0.3942307692307694,0.055849106203995816,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.7473684210526318,0.0,0.2,0.0,0.6,0.6,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.6,0.6,0.4,0.6,0.8,1.0,0.2,0.6,0.8,0.8,0.4,0.6,0.2,0.3999999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,4
Arizona 1992,0.4072164948453608,0.3439490445859873,0.3292682926829268,0.17142857142857143,0.46835443037974683,0.6319018404907977,0.34615384615384603,0.0529082959765344,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.7473684210526318,0.0,0.2,0.0,0.6,0.6,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.4,0.2,0.6,0.6,0.4,0.6,0.8,1.0,0.2,0.6,0.8,0.8,0.4,0.6,0.2,0.3999999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,5
Arizona 1993,0.4072164948453608,0.32484076433121023,0.3658536585365853,0.20050125313283207,0.5232067510548524,0.7116564417177915,0.34615384615384626,0.044263394520479935,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.7473684210526318,0.0,0.2,0.0,0.6,0.6,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.2,0.2,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.4,0.2,0.8,0.8,0.4,0.6,0.8,1.0,0.2,0.6,0.8,0.8,0.4,0.6,0.2,0.3999999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,5
